window,k,skew,cool,round,day,sample_type,profit
100,1.5,1.5,500,3,1,IS,643
100,1.5,1.5,500,3,2,IS,440
100,1.5,1.5,500,4,1,OOS,643
100,1.5,1.5,500,4,2,OOS,440
100,1.5,1.5,500,4,3,OOS,372
100,1.5,1.5,500,5,2,OOS,440
100,1.5,1.5,500,5,3,OOS,372
100,1.5,1.5,500,5,4,OOS,956
30,2.0,1.0,500,1,-2,IS,367
30,2.0,1.0,500,1,-1,IS,239
30,2.0,1.0,500,1,0,IS,110
30,2.0,1.0,500,2,-1,IS,239
30,2.0,1.0,500,2,0,IS,110
30,2.0,1.0,500,2,1,IS,227
30,2.0,1.0,500,3,0,IS,110
30,2.0,1.0,500,3,1,IS,227
30,2.0,1.0,500,3,2,IS,239
30,2.0,1.0,500,4,1,OOS,227
30,2.0,1.0,500,4,2,OOS,239
30,2.0,1.0,500,4,3,OOS,299
30,2.0,1.0,500,5,2,OOS,239
30,2.0,1.0,500,5,3,OOS,299
30,2.0,1.0,500,5,4,OOS,17
50,3.0,0.5,1000,1,-2,IS,279
50,3.0,0.5,1000,1,-1,IS,-25
50,3.0,0.5,1000,1,0,IS,-7
50,3.0,0.5,1000,2,-1,IS,-25
50,3.0,0.5,1000,2,0,IS,-7
50,3.0,0.5,1000,2,1,IS,44
50,3.0,0.5,1000,3,0,IS,-7
50,3.0,0.5,1000,3,1,IS,44
50,3.0,0.5,1000,3,2,IS,-218
50,3.0,0.5,1000,4,1,OOS,44
50,3.0,0.5,1000,4,2,OOS,-218
50,3.0,0.5,1000,4,3,OOS,20
50,3.0,0.5,1000,5,2,OOS,-218
50,3.0,0.5,1000,5,3,OOS,20
50,3.0,0.5,1000,5,4,OOS,-15
100,2.5,0.5,100,1,-2,IS,1137
100,2.5,0.5,100,1,-1,IS,312
100,2.5,0.5,100,1,0,IS,490
100,2.5,0.5,100,2,-1,IS,312
100,2.5,0.5,100,2,0,IS,490
100,2.5,0.5,100,2,1,IS,1317
100,2.5,0.5,100,3,0,IS,490
100,2.5,0.5,100,3,1,IS,1317
100,2.5,0.5,100,3,2,IS,-254
100,2.5,0.5,100,4,1,OOS,1317
100,2.5,0.5,100,4,2,OOS,-254
100,2.5,0.5,100,4,3,OOS,118
100,2.5,0.5,100,5,2,OOS,-254
100,2.5,0.5,100,5,3,OOS,118
100,2.5,0.5,100,5,4,OOS,412
10,1.0,0.5,300,1,-2,IS,997
10,1.0,0.5,300,1,-1,IS,613
10,1.0,0.5,300,1,0,IS,354
10,1.0,0.5,300,2,-1,IS,613
10,1.0,0.5,300,2,0,IS,354
10,1.0,0.5,300,2,1,IS,637
10,1.0,0.5,300,3,0,IS,354
10,1.0,0.5,300,3,1,IS,637
10,1.0,0.5,300,3,2,IS,636
10,1.0,0.5,300,4,1,OOS,637
10,1.0,0.5,300,4,2,OOS,636
10,1.0,0.5,300,4,3,OOS,664
10,1.0,0.5,300,5,2,OOS,636
10,1.0,0.5,300,5,3,OOS,664
10,1.0,0.5,300,5,4,OOS,583
10,1.5,1.0,100,1,-2,IS,1177
10,1.5,1.0,100,1,-1,IS,643
10,1.5,1.0,100,1,0,IS,399
10,1.5,1.0,100,2,-1,IS,643
10,1.5,1.0,100,2,0,IS,399
10,1.5,1.0,100,2,1,IS,879
10,1.5,1.0,100,3,0,IS,399
10,1.5,1.0,100,3,1,IS,879
10,1.5,1.0,100,3,2,IS,-168
10,1.5,1.0,100,4,1,OOS,879
10,1.5,1.0,100,4,2,OOS,-168
10,1.5,1.0,100,4,3,OOS,649
10,1.5,1.0,100,5,2,OOS,-168
10,1.5,1.0,100,5,3,OOS,649
10,1.5,1.0,100,5,4,OOS,524
200,2.0,0.8,500,1,-2,IS,1106
200,2.0,0.8,500,1,-1,IS,-136
200,2.0,0.8,500,1,0,IS,466
200,2.0,0.8,500,2,-1,IS,-136
200,2.0,0.8,500,2,0,IS,466
200,2.0,0.8,500,2,1,IS,353
200,2.0,0.8,500,3,0,IS,466
200,2.0,0.8,500,3,1,IS,353
200,2.0,0.8,500,3,2,IS,944
200,2.0,0.8,500,4,1,OOS,353
200,2.0,0.8,500,4,2,OOS,944
200,2.0,0.8,500,4,3,OOS,186
200,2.0,0.8,500,5,2,OOS,944
200,2.0,0.8,500,5,3,OOS,186
200,2.0,0.8,500,5,4,OOS,870
100,1.0,1.5,300,1,-2,IS,2631
100,1.0,1.5,300,1,-1,IS,958
100,1.0,1.5,300,1,0,IS,1051
100,1.0,1.5,300,2,-1,IS,958
100,1.0,1.5,300,2,0,IS,1051
100,1.0,1.5,300,2,1,IS,1748
100,1.0,1.5,300,3,0,IS,1051
100,1.0,1.5,300,3,1,IS,1748
100,1.0,1.5,300,3,2,IS,2441
100,1.0,1.5,300,4,1,OOS,1748
100,1.0,1.5,300,4,2,OOS,2441
100,1.0,1.5,300,4,3,OOS,76
100,1.0,1.5,300,5,2,OOS,2441
100,1.0,1.5,300,5,3,OOS,76
100,1.0,1.5,300,5,4,OOS,1378
100,2.0,1.5,700,1,-2,IS,410
100,2.0,1.5,700,1,-1,IS,98
100,2.0,1.5,700,1,0,IS,122
100,2.0,1.5,700,2,-1,IS,98
100,2.0,1.5,700,2,0,IS,122
100,2.0,1.5,700,2,1,IS,408
100,2.0,1.5,700,3,0,IS,122
100,2.0,1.5,700,3,1,IS,408
100,2.0,1.5,700,3,2,IS,421
100,2.0,1.5,700,4,1,OOS,408
100,2.0,1.5,700,4,2,OOS,421
100,2.0,1.5,700,4,3,OOS,194
100,2.0,1.5,700,5,2,OOS,421
100,2.0,1.5,700,5,3,OOS,194
100,2.0,1.5,700,5,4,OOS,373
10,1.0,1.0,300,1,-2,IS,1167
10,1.0,1.0,300,1,-1,IS,632
10,1.0,1.0,300,1,0,IS,353
10,1.0,1.0,300,2,-1,IS,632
10,1.0,1.0,300,2,0,IS,353
10,1.0,1.0,300,2,1,IS,699
10,1.0,1.0,300,3,0,IS,353
10,1.0,1.0,300,3,1,IS,699
10,1.0,1.0,300,3,2,IS,641
10,1.0,1.0,300,4,1,OOS,699
10,1.0,1.0,300,4,2,OOS,641
10,1.0,1.0,300,4,3,OOS,699
10,1.0,1.0,300,5,2,OOS,641
10,1.0,1.0,300,5,3,OOS,699
10,1.0,1.0,300,5,4,OOS,565
30,3.0,1.2,500,1,-2,IS,123
30,3.0,1.2,500,1,-1,IS,24
30,3.0,1.2,500,1,0,IS,-34
30,3.0,1.2,500,2,-1,IS,24
30,3.0,1.2,500,2,0,IS,-34
30,3.0,1.2,500,2,1,IS,53
30,3.0,1.2,500,3,0,IS,-34
30,3.0,1.2,500,3,1,IS,53
30,3.0,1.2,500,3,2,IS,-6
30,3.0,1.2,500,4,1,OOS,53
30,3.0,1.2,500,4,2,OOS,-6
30,3.0,1.2,500,4,3,OOS,13
30,3.0,1.2,500,5,2,OOS,-6
30,3.0,1.2,500,5,3,OOS,13
30,3.0,1.2,500,5,4,OOS,-13
10,2.0,1.5,300,1,-2,IS,110
10,2.0,1.5,300,1,-1,IS,288
10,2.0,1.5,300,1,0,IS,80
10,2.0,1.5,300,2,-1,IS,288
10,2.0,1.5,300,2,0,IS,80
10,2.0,1.5,300,2,1,IS,217
10,2.0,1.5,300,3,0,IS,80
10,2.0,1.5,300,3,1,IS,217
10,2.0,1.5,300,3,2,IS,31
10,2.0,1.5,300,4,1,OOS,217
10,2.0,1.5,300,4,2,OOS,31
10,2.0,1.5,300,4,3,OOS,184
10,2.0,1.5,300,5,2,OOS,31
10,2.0,1.5,300,5,3,OOS,184
10,2.0,1.5,300,5,4,OOS,112
30,1.5,1.5,1000,1,-2,IS,361
30,1.5,1.5,1000,1,-1,IS,823
30,1.5,1.5,1000,1,0,IS,182
30,1.5,1.5,1000,2,-1,IS,823
30,1.5,1.5,1000,2,0,IS,182
30,1.5,1.5,1000,2,1,IS,245
30,1.5,1.5,1000,3,0,IS,182
30,1.5,1.5,1000,3,1,IS,245
30,1.5,1.5,1000,3,2,IS,215
30,1.5,1.5,1000,4,1,OOS,245
30,1.5,1.5,1000,4,2,OOS,215
30,1.5,1.5,1000,4,3,OOS,327
30,1.5,1.5,1000,5,2,OOS,215
30,1.5,1.5,1000,5,3,OOS,327
30,1.5,1.5,1000,5,4,OOS,413
100,3.0,1.2,700,1,-2,IS,198
100,3.0,1.2,700,1,-1,IS,40
100,3.0,1.2,700,1,0,IS,-42
100,3.0,1.2,700,2,-1,IS,40
100,3.0,1.2,700,2,0,IS,-42
100,3.0,1.2,700,2,1,IS,155
100,3.0,1.2,700,3,0,IS,-42
100,3.0,1.2,700,3,1,IS,155
100,3.0,1.2,700,3,2,IS,-101
100,3.0,1.2,700,4,1,OOS,155
100,3.0,1.2,700,4,2,OOS,-101
100,3.0,1.2,700,4,3,OOS,5
100,3.0,1.2,700,5,2,OOS,-101
100,3.0,1.2,700,5,3,OOS,5
100,3.0,1.2,700,5,4,OOS,-10
30,3.0,1.0,300,1,-2,IS,123
30,3.0,1.0,300,1,-1,IS,28
30,3.0,1.0,300,1,0,IS,-34
30,3.0,1.0,300,2,-1,IS,28
30,3.0,1.0,300,2,0,IS,-34
30,3.0,1.0,300,2,1,IS,53
30,3.0,1.0,300,3,0,IS,-34
30,3.0,1.0,300,3,1,IS,53
30,3.0,1.0,300,3,2,IS,-6
30,3.0,1.0,300,4,1,OOS,53
30,3.0,1.0,300,4,2,OOS,-6
30,3.0,1.0,300,4,3,OOS,13
30,3.0,1.0,300,5,2,OOS,-6
30,3.0,1.0,300,5,3,OOS,13
30,3.0,1.0,300,5,4,OOS,-13
50,1.5,0.8,100,1,-2,IS,3471
50,1.5,0.8,100,1,-1,IS,1340
50,1.5,0.8,100,1,0,IS,1206
50,1.5,0.8,100,2,-1,IS,1340
50,1.5,0.8,100,2,0,IS,1206
50,1.5,0.8,100,2,1,IS,3588
50,1.5,0.8,100,3,0,IS,1206
50,1.5,0.8,100,3,1,IS,3588
50,1.5,0.8,100,3,2,IS,1196
50,1.5,0.8,100,4,1,OOS,3588
50,1.5,0.8,100,4,2,OOS,1196
50,1.5,0.8,100,4,3,OOS,407
50,1.5,0.8,100,5,2,OOS,1196
50,1.5,0.8,100,5,3,OOS,407
50,1.5,0.8,100,5,4,OOS,1543
200,1.0,0.5,100,1,-2,IS,5356
200,1.0,0.5,100,1,-1,IS,4003
200,1.0,0.5,100,1,0,IS,3909
200,1.0,0.5,100,2,-1,IS,4003
200,1.0,0.5,100,2,0,IS,3909
200,1.0,0.5,100,2,1,IS,7163
200,1.0,0.5,100,3,0,IS,3909
200,1.0,0.5,100,3,1,IS,7163
200,1.0,0.5,100,3,2,IS,6715
200,1.0,0.5,100,4,1,OOS,7163
200,1.0,0.5,100,4,2,OOS,6715
200,1.0,0.5,100,4,3,OOS,1172
200,1.0,0.5,100,5,2,OOS,6715
200,1.0,0.5,100,5,3,OOS,1172
200,1.0,0.5,100,5,4,OOS,6338
200,1.0,1.0,300,1,-2,IS,2821
200,1.0,1.0,300,1,-1,IS,1581
200,1.0,1.0,300,1,0,IS,1754
200,1.0,1.0,300,2,-1,IS,1581
200,1.0,1.0,300,2,0,IS,1754
200,1.0,1.0,300,2,1,IS,2119
200,1.0,1.0,300,3,0,IS,1754
200,1.0,1.0,300,3,1,IS,2119
